Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-252.705	-323.0159	70.31092	0.0120934	0.085586	0.863409	0.0389113	0.5201019	1.32392	0.7559347	0.5294923
6	-261.1048	-326.646	65.54117	0.133259	0.0818166	0.721451	0.0634736	8.092591	1.449367	0.7559347	0.9812363
12	-256.2133	-325.2123	68.99905	0.0877742	0.10334	0.445303	0.363582	0.2340091	1.563958	1.120339	1.466939
18	-255.742	-321.2564	65.51439	0.0297132	0.19787	0.40687	0.365547	0.7880098	1.412169	1.173511	7.67415
24	-252.7097	-318.3171	65.60735	0.0508613	0.405948	0.153264	0.389927	1.448093	1.482457	0.9476672	6.064532
30	-250.6525	-318.3309	67.67838	0.19746	0.371166	0.121714	0.30966	3.471167	1.119538	0.8771189	0.9497411
36	-264.4713	-332.7418	68.27049	0.0354483	0.311345	0.223128	0.430079	1.852948	1.416536	1.218123	0.7645832
42	-258.0983	-326.545	68.44668	0.107081	0.334265	0.459213	0.0994407	1.028377	1.429503	1.241403	1.278127
48	-255.2451	-323.6301	68.38493	0.177427	0.163396	0.0890766	0.5701	2.519506	1.407933	1.083064	0.3097797
54	-268.319	-334.7411	66.42204	0.408452	0.304458	0.0223671	0.264723	1.735691	1.93311	0.6610111	3.256289
60	-260.6855	-330.6529	69.96742	0.0921911	0.814018	0.00730725	0.0864841	0.5405748	1.934807	0.5375219	0.2926497
66	-261.1497	-330.5423	69.39256	0.238475	0.0789472	0.337357	0.345221	1.29246	1.703061	0.5412654	0.3725946
72	-261.8315	-330.1075	68.27608	0.200024	0.146758	0.569656	0.083562	0.853869	1.373654	1.177869	1.84119
78	-258.0177	-323.6603	65.64262	0.148339	0.108836	0.543125	0.1997	1.929192	1.638553	0.9387519	4.672651
84	-258.5047	-323.2126	64.70798	0.180425	0.382081	0.0833771	0.354117	7.046071	2.071221	0.8716379	1.476706
